"input_meta","input_text","clarq_meta","clarq_text"
"post_0","when i am clicking on * * add to cart * * button then product was added to my cart and mini - cart count also updated but loader on mini - cart showing always .  [ ! [ enter image description here][1]][1 ]  after refreshing my page mini - cart shows updated count .  [ ! [ enter image description here][2]][2 ]  what should i do to remove that loader after mini - cart count update ?    [ 1 ] : https://i.stack.imgur.com/oyiqr.png    [ 2 ] : https://i.stack.imgur.com/ob2dx.png","clarq_0","can you please share your code ?"
"post_1","i am trying to find where i did mistake when i search abc in catalog search tab . the link * * local.xyz.com/abc.html * * redirect to www.xyz.com/abc.html .  do n't know where i did mistake , i already changed the url rewrite manage ment and reindex in and remove cache but same issue occur .","clarq_1","can you share your code ?"
"post_2","hello i am new on the magento 2 . suddenly i got the error when new user come on the site and try to register after filling information it is showing error as "" we ca n't save the customer ""   . i am not able to understand why this is happening suddenly on my website . please let me know and suggest me any relevant answer for this query . my website url is http://54.67.81.223/viewsonicstore  thanks in advance","clarq_2","can you share your code ?"
"post_3","on the category page i have an attribute showing values , that attribute can have multiple values and will show all te values separated by comma 's . is there a way to get the highest value from the attribute and also the lowest ?  what is have to display the values :      getresource()->getattribute('scherm_breedte')->getfrontend()->getvalue($_product ) ) : ? >        breedte : getresource()->getattribute('scherm_breedte')->getfrontend()->getvalue($_product ) ; ? >     regards ,  robert","clarq_3","can you please share your code ?"
"post_4","how can i get all the available colors of a single product in magento 2 ?","clarq_4","do you want to create a new theme ?"
"post_5","i have just upgraded my magento site from 1.7.0.2 to latest version and when i visit my frontend , it is working fine but when i try to open admin panel , it shows nothing and display white screen .  i used following in index.php file to see any error but nothing is appearing still .      error_reporting(e_all ) ;      ini_set('display_errors ' , 1 ) ;  please help me","clarq_5","can you please share your code ?"
"post_6","* * how to define url in jquery in magento 2 . i have get all the form data afte the form submit , but need to pass this to controller , so how do i declare url in js * *","clarq_6","can you please share your code ?"
"post_7","i want to * * random 5 category * * but not luck for me  i have use below code      $ categoryfactory = $ objectmanager->create('magento\catalog\model\resourcemodel\category\collectionfactory ' ) ;      $ categories = $ categoryfactory->create()->addattributetoselect('*')->setpagesize(5)->getselect()->orderrand ( ) ;  * * but order random not working for me * *","clarq_7","can you please share your code ?"
"post_8","warning : domdocument::loadxml ( ) : empty string supplied as input in c:\xampp\htdocs\magento2\vendor\magento\module - config\model\config\structure\reader.php on line 132","clarq_8","try ` &ltunk&gt ( ) ` instead of ` &ltunk&gt `"
"post_9","i have a magento event ` ' payment_method_is_active ' ` and i want to call event with ajax . how can i do ?","clarq_9","can you please share your code ?"
"post_10","i have created a link in account dashboard it is visible as shown in screen  shot below  http://www.awesomescreenshot.com/image/2552807/2ab6b42e8987aaeb6e254a81c27e202a  when i click on the link it is showing just like these in the screen shot below  http://www.awesomescreenshot.com/image/2552811/5e81668539016e4f9622033455c999d0  but i need on clicking my custom link i need show the content as shown in the  screen shot below  http://www.awesomescreenshot.com/image/2552815/afa2f32d0f2be63d2596e75ae53626c1  please can anyone help me  thanks in advance .","clarq_10","can you please share your code ?"
"post_11","i 'm very new to magento , i have magento_2.3-ee , i 'm using ubuntu-16.4 , i created a virtual host , extract magento_2.3 folder in it , now when i type and hit url ` mg.local ` , i get blank white page ...  also when i type this command to switch to developer mode ` sudo php bin / magento deploy : mode : set developer ` i get this error ` there are no commands defined in the "" deploy : mode "" namespace . `  thanks in advance .","clarq_11","can you please share your code ?"
"post_12","i 've added an image to my home page and when i preview the home page from cms pages in the admin the image is responsive .  when i click on my logo the page is then fully responsive all except the image ?  the url ends index.php/home when i preview from the cms pages panel and when i click the logo the home url key is gone ?","clarq_12","can you share your code ?"
"post_13","i want to put attribute selection at the time of creating simple product like "" configurable product "" . when admin select attributes only those attribute can be display at the time of product creation from admin panel . so how can i achieve this functionality . any idea and help will be appreciate .  i am using magento version : 1.9.3.4 .","clarq_13","do you want to create a custom attribute ?"
"post_14","is there a quick way to check the name of an object . for example , if i do ...      $ product = mage::getmodel('catalog / product')- > ... ;  how can i get check to see it is a ` mage_catalog_model_product ` for ` $ product ` ?","clarq_14","can you please share your code ?"
"post_15","i installed ` magento2.2 ` . after installing when i visit the site , it shows  > 500 internal server error  the same for admin section as well .  i removed my .htaccess from root folder and tried . this time around front end loads without ` css ` and ` js ` , but admin section shows  > 404 not found  can someone help ?  i referred below but no luck .  https://magento.stackexchange.com/questions/106838/css-and-admin-panel-not-working-in-magento-2-community-edition","clarq_15","can you post the error you are getting ?"
"post_16","how can i add a label to checkout addresses fields ?  [ ! [ enter image description here][1]][1 ]    [ 1 ] : https://i.stack.imgur.com/ltvpd.png","clarq_16","can you please share your code ?"
"post_17","tried to add the following code to add validation for street , but it 's not work . how to add the validation for street ? thanks .                                             true","clarq_17","what do you want to do ?"
"post_18","i 've just made a module with a controller and routes , the page loads fine and some head elements are present ... however they are no blocks on the page - is this normal ? why does n't default.xml layout apply to this page ( defined in other places )  i have no layout files in this module yet .","clarq_18","can you share your code ?"
"post_19","in my magneto mobile homepage . featured product slider not working properly .  when i add this code to my mobile_homepage static block it will work only once . when i try to add another category with this code . slider is not working . it will show product big images . url ( test.blingers.in )  {{block type=""mpanel / products "" products_count=""10 "" title=""school uniform "" category_id=""377 "" template=""cms / home / featured_products.phtml""}}","clarq_19","can you please share your code ?"
"post_20","how to get product i d but this product in which category and this category how to get product i d i want to set entity i d thru get category i d please say any way   .. :) advance thank you .. please help me ..","clarq_20","do you want to remove the product ?"
"post_21","i tried to follow steps according to this link : https://magecomp.com/blog/add-custom-tab-in-customer-account-section-magento-2/  but nothing added , could anybody help me please ?","clarq_21","what do you mean by "" solve "" ?"
"post_22","i want to show some extra data on product list page so i override the vendor\magento\module - catalog\block\product\listproduct.php . for this i refer http://magento.stackexchange.com/questions/96642/add-custom-block-on-listing-page-magento2 . it work .  but i need to call my helper function in my override block file . created new file name listproduct.php in app\code\vendor\module_name\block\product      namespace vendor\module_name\block\product ;       class listproduct extends \magento\catalog\block\product\listproduct       {        // i need to call my module helper function here :           public function test ( ) {            }       }  how can i call my helper function inside this block file . thanks","clarq_22","can you please share your code ?"
"post_23","4444333322221111 //   here how to get a value dynamically            what is the format of get a value dynamically in xml field","clarq_23","can you please share your code ?"
"post_24","i created sub - store and displayed all products on all new stores as :  go to your manage products page , click select all , change the action dropdown to say "" change attributes "" and click submit . then , on the websites tab , make sure your new site is checked in the "" add product to websites "" area , and click save .  requirement : all set well but products images are not displaying same like main website . hoe to display images on product - list and product - detail pages ?","clarq_24","can you please share your code ?"
"post_25","hello i m new to magento and not so familiar with magento i have requirement assign a category to new products automatically  thanks in advance for help","clarq_25","do you want to remove the product ?"
"post_26","i am struggling with an strange issue that when i enable the ` use flat catalog category ` from admin the front is starting giving the following error in chrome      no data received      unable to load the webpage because the server sent no data .      here are some suggestions :      reload this webpage later .      error 324 ( net::err_empty_response ) : the server closed the connection without sending any data .  and in mozzila - > nothing is displaying :'(  not getting this at all what is going on . any body any idea about this please help .","clarq_26","can you post the error you are getting ?"
"post_27","when i am   changing store view , it affects the whole front end design of my site  how to fix it .","clarq_27","can you share your code ?"
"post_28","i am following this article(https://www.mageplaza.com / magento-2-module - development/ ) and creating a custom module in magento 2.2.0 but when i reach the step where i have to check my custom module in admin panel  store > > advanced > > advanced i do n't see anything there .  module.xml                          registration.php      < ? php      / * *       * created by phpstorm .       * user : iftikhar uddin       * date : 10/22/2017       * time : 8:54 am       * /          \magento\framework\component\componentregistrar::register (          \magento\framework\component\componentregistrar::module ,          ' connextar_cxmagemods ' ,          _ _ dir _ _      ) ;  code directory stucture is \app\code\connextar\cxmagemods\","clarq_28","can you please share your code ?"
"post_29","i 'm trying to access the customers grid ( customers->all customers ) on backend and always get an error .  i 've already uninstalled all the extensions that i 've installed , cleared the cache and reindex the db , but everything remains the same .  below is the error  "" class magento\\customer\\controller\\adminhtml\\index\\index\\interceptor does not exist ""  regards","clarq_29","did you check the error log ?"
"post_30","i have a custom function that is triggered with event * * sales_order_place_after * * , i need to retrieve the shipping address in this function .  i tried ` $ observer->getcustomeraddress ( ) ` , but it did n't work . how could i get the shipping address ?","clarq_30","can you please share your code ?"
"post_31","hi this code is working perfect without magento .                          $ ( ' # side').flipbook ( {              pdf : ' sample.pdf ' ,             } ) ;        i added to flipbook.js to   view / frontend / templates / web / js  and added to layout        phtml                         require(['jquery ' ] , function($ ) {                          $ ( ' # side').flipbook ( {              pdf : ' sample.pdf ' ,             } ) ;                  } ) ;            can u explain why its not working ?  and how can i fix it ?","clarq_31","can you please share your code ?"
"post_32","magento search filter not working at all , although filters on product by category   works fine .  magento ver . 1.9.0.1  on the search page  search filters are not working .  sort by is not working  show 6 product not working ( it shows more then 6 product )  please help https://carvakasextoys.co.uk/catalogsearch/result/?q=games","clarq_32","can you please share your code ?"
"post_33","hello this is phtml file      getapikey ( ) ;      echo $ url ;  from above code i am getting this url  if hit that url in   browsers other tab it will display json data i.e https://maps.google.com/maps/api/geocode/json?address=manhattan&key=aizasybr3mn7y42_ihmtce_5zejk_usgcfxifgk  i have fetch that data in php variable mainly longitude and latitude any suggestion  thanks","clarq_33","can you please share your code ?"
"post_34","after successful installation when i run the admin url it 's giving me this . i 'm not sure what 's happening . so if anyone have any solution for this it will be great help .   [ ! [ image][1]][1 ]    [ 1 ] : https://i.stack.imgur.com/aussk.png","clarq_34","can you please share your code ?"
"post_35","! [ enter image description here][1 ]    [ 1 ] : http://i.stack.imgur.com/r5w3i.png  we moved the site from one domain to another domain .  but after moving , admin panel is not moving properly .  we changed the doamin name in core _ config_data  please give me some solution","clarq_35","can you please share your code ?"
"post_36","i have deployed magento2 , phpmyadmin and xampp on a dedicated localhost server running windows 10 . everything is working fine and i have uploaded my entire catalogue etc .  i want to give other members of my team access to magento 2 so they can familiarise themselves with it before i deploy to a production environment .  what is the process i need to go through to give them access once i have edited their permissions ? any help would be much appreciated .","clarq_36","what do you mean by "" &ltunk&gt "" ?"
"post_37","i developed a simple admin panel for my magento theme ( i 'm back in magento ) and wanted to know how i can add a class html via descent in magento admin . e ' can add it through array ? if so , how can i do ?","clarq_37","do you want to create custom theme ?"
"post_38","i 'm working on grouped products price now total price is calculated as  * * total price = product(a ) price x product(a ) quantity + product(b ) price x product ( ) quantity * *   i want some change in that calculation like this  * * total price = product(a ) price x product(a ) quantity x product(a ) carton + product(b ) price x product(b ) quantity x product(b ) carton * *   anyone can tell me where is code or how to do it","clarq_38","can you please share your code ?"
"post_39","i am trying to update price of product on product page . so i am updating the span of price by getting ` product price + my additional ` price but problem is when we use custom option . is there any ` event or plugin ` available using which can add our price at final even after custom option .  thank you ,","clarq_39","can you please share your code ?"
"post_40","there is a ` quantity box ` in each magento product page . i want to hide this quantity selector from out of stock product pages .  how should i do thad ?","clarq_40","do you want to remove the product ?"
"post_41","i have magrate magento 2 website from subdomain to root . after migration user ca nt logged into the account but admin is working fine .  if user clear the cache and try to login , login works fine but when the cookies expire it wo nt work .  everything look perfect but do nt know what can be the issue .","clarq_41","can you please share the error log ?"
"post_42","in magento 2 , how to add a custom customer attributes in   checkout register page ?","clarq_42","do you want to do this in magento 2 ?"
"post_43","can anyone suggest me how to get the attribute value for products in magento , and where to use the coding in backend . i 'm totally new to this concept . please post the exact codings .      $ attribute= mage::getresourcemodel('catalog / product')->getattributerawvalue($product_id , ' attribute_code ' , $ storeid ) ;  these is the coding which i tried . instead of $ product_id i gave the number for the particular product i d . how to check , where it is working","clarq_43","can you please share your code ?"
"post_44","after successful installation when i run the admin url it 's giving me this . i 'm not sure what 's happening . so if anyone have any solution for this it will be great help .   [ ! [ image][1]][1 ]    [ 1 ] : https://i.stack.imgur.com/aussk.png","clarq_44","can you please share your code ?"
"post_45","i am using this data - migration - tool ,  when i migrate from magento 1.9.3.2 to magento 2.3,getting below error ,  sqlstate[23000 ] : integrity constraint violation : 1062 duplicate entry ' 1 ' for key ' sales_order_increment_id_store_id '  i tried many times upload fresh db , still getting this issue","clarq_45","can you please share your code ?"
"post_46","i tried using instafeed.js from http://instafeedjs.com/ to show an instagram feed using a particular hashtag right before the footer on my homepage .  i added the file instafeed.min.js to my default / theme / js  i created a static block called instafeed with the content                var feed = new instafeed ( {              get : ' tagged ' ,              tagname : ' awesome ' ,              clientid : ' my client id '          } ) ;          feed.run ( ) ;        then to the homepage layout xml i added             instafeed        is this the correct way to integrate ?","clarq_46","can you share your code ?"
"post_47","i have problem with adding block inside another block ..  my code :                                                                 then when i call ` $ this->getchildhtml ( ) ; ` in login.phtml i do not see this view .  any help ?","clarq_47","can you please share your code ?"
"post_48","i have magento 1.9.3.8 and i want to set a different shipping price for each state / province i tried to configure it from dashboard but i could n't ,   any solution for this ?","clarq_48","do you want to remove the price ?"
"post_49","i am trying to override the content on /requisition_list / requisition / index/ in the account pages . i have created the following structure in my theme :  magento_requisitionlist    frontend      templates        requisition          actions            create.phtml  but the changes are not visible on the front end . i have verified the template using by enabling theme hints , tried running setup : di : compile , flushed the cache , cleaned the cache , verified file permissions , etc . without no luck .  how can override content on this page ?","clarq_49","can you please share your code ?"
